frag_id,Species,Treatment,Trial,weight_g_weekly,surface_area_cm3_weekly,rgb_weekly
Pcli 8.2,Pcli,PBR,PBR 2,-0.014533333333333212,-0.01250000000000003,-1.5956481481481504
Pcli 8.3,Pcli,PBR,PBR 2,0.02585000000000015,0.15166666666666676,-0.5900185185185194
Pcli 8.4,Pcli,Control,Control,-0.0014333333333335456,-0.03766666666666666,1.3126296296296307
Pcli 9.1,Pcli,PBR,PBR 2,0.03141666666666687,-0.05950000000000003,-2.9180925925925933
Pcli 9.2,Pcli,PBR,PBR 2,-0.04205,0.26633333333333337,-0.9509629629629615
Pcli 9.3,Pcli,PBR,PBR 2,0.0017999999999999499,0.22216666666666662,-1.2618518518518513
Pcli 9.4,Pcli,Control,Control,0.008433333333333515,0.05116666666666673,4.01848148148149
Mcav 1.1,Mcav,PBR,PBR 3,0.10798333333333332,0.03366666666666666,0.41574074074074
Mcav 1.2,Mcav,PBR,PBR 3,-0.009933333333333275,0.09583333333333337,-4.1678888888888865
Mcav 1.3,Mcav,PBR,PBR 3,0.07710000000000032,-0.03316666666666657,-3.5564999999999976
Mcav 1.4,Mcav,Control,Control,0.1310500000000001,-0.07100000000000002,2.606481481481476
Mcav 2.1,Mcav,PBR,PBR 3,0.04435000000000026,0.0028333333333333544,0.4177962962962975
Mcav 2.2,Mcav,PBR,PBR 3,0.002549999999999978,-0.031166666666666638,-6.192925925925917
Mcav 2.3,Mcav,PBR,PBR 3,0.050500000000000135,0.014333333333333309,1.656240740740742
Mcav 2.4,Mcav,Control,Control,0.004933333333333678,0.0195,0.4794444444444442
Mcav 3.1,Mcav,PBR,PBR 3,-0.04978333333333337,0.0676666666666667,-5.444722222222225
Mcav 3.2,Mcav,PBR,PBR 3,0.02790000000000011,-0.009333333333333268,-0.8565740740740727
Mcav 3.3,Mcav,PBR,PBR 3,0.0702499999999997,-0.01383333333333329,-0.1859814814814816
Mcav 3.4,Mcav,Control,Control,0.06104999999999983,0.0346666666666667,-3.490166666666667
Ofav 1.1,Ofav,PBR,PBR 3,0.08078333333333336,-0.04283333333333328,3.8333518518518517
Ofav 1.2,Ofav,PBR,PBR 3,0.020833333333333332,0.03966666666666674,-0.14798148148148016
Ofav 1.3,Ofav,PBR,PBR 3,0.029099999999999977,-0.044333333333333336,1.2610925925925898
Ofav 1.4,Ofav,Control,Control,0.08131666666666722,0.11933333333333336,-0.22138888888888886
Ofav 2.1,Ofav,PBR,PBR 3,0.028133333333333194,0.11200000000000003,0.4169814814814809
Ofav 2.2,Ofav,PBR,PBR 3,0.007716666666666742,0.03549999999999994,-0.643814814814815
Ofav 2.3,Ofav,PBR,PBR 3,0.0758049999999999,0.031166666666666714,-0.13764814814814721
Ofav 2.4,Ofav,Control,Control,0.04126666666666671,0.08683333333333339,-1.277796296296297
Ofav 3.1,Ofav,PBR,PBR 3,0.0665333333333334,0.03983333333333331,-5.119777777777777
Ofav 3.2,Ofav,PBR,PBR 3,0.04733333333333315,0.05683333333333337,-2.7434259259259286
Ofav 3.3,Ofav,PBR,PBR 3,0.023183333333333483,0.027333333333333282,-3.2118333333333333
Ofav 3.4,Ofav,Control,Control,0.055933333333333245,0.05449999999999999,-0.9909444444444423
Pcli 1.1,Pcli,PBR,PBR 3,0.059183333333333366,-0.018666666666666682,4.173222222222225
Pcli 1.2,Pcli,PBR,PBR 3,-0.005550000000000092,0.09899999999999998,-1.4928703703703714
Pcli 1.3,Pcli,PBR,PBR 3,0.06236666666666638,0.04950000000000002,-1.9754814814814807
Pcli 1.4,Pcli,Control,Control,7.333333333334006e-4,0.5536666666666666,2.959740740740744
Pcli 2.1,Pcli,PBR,PBR 3,0.04878333333333392,0.09749999999999999,2.487074074074075
Pcli 2.2,Pcli,PBR,PBR 3,0.06315000000000026,0.044333333333333336,-0.38611111111111285
Pcli 2.3,Pcli,PBR,PBR 3,0.007033333333333521,0.46833333333333343,2.3941296296296315
Pcli 2.4,Pcli,Control,Control,0.021816666666666745,-0.012166666666666584,2.6199259259259216
Pcli 3.1,Pcli,PBR,PBR 3,0.04768333333333352,0.06099999999999994,0.4934999999999974
Pcli 3.2,Pcli,PBR,PBR 3,0.04021666666666649,0.05116666666666658,0.677574074074073
Pcli 3.3,Pcli,PBR,PBR 3,0.029233333333333295,0.027833333333333304,-0.4362037037037017
Pcli 3.4,Pcli,Control,Control,0.03531666666666666,0.07600000000000007,1.6244074074074106
Mcav 10.1,Mcav,PBC,PBC 3,0.0015499999999999403,0.04049999999999998,-6.342759259259258
Mcav 10.2,Mcav,PBC,PBC 3,0.038716666666666434,0.007666666666666637,-7.475814814814815
Mcav 10.3,Mcav,PBC,PBC 3,0.01366666666666679,0.015833333333333366,-5.058203703703704
Mcav 10.4,Mcav,Control,Control,-0.025400000000000016,0.00516666666666669,1.830037037037035
Mcav 11.1,Mcav,PBC,PBC 3,0.090083333333333,-0.003833333333333281,-7.479925925925923
Mcav 11.2,Mcav,PBC,PBC 3,0.02511666666666675,0.013500000000000068,-8.151055555555553
Mcav 11.3,Mcav,PBC,PBC 3,0.011883333333333468,-0.08549999999999998,-8.903944444444447
Mcav 11.4,Mcav,Control,Control,0.005649999999999859,0.3081666666666667,-0.7434814814814814
Mcav 12.1,Mcav,PBC,PBC 3,0.08648333333333369,-0.020500000000000036,-6.700444444444446
Mcav 12.2,Mcav,PBC,PBC 3,7.999999999999119e-4,-0.029333333333333284,-5.729277777777774
Mcav 12.3,Mcav,PBC,PBC 3,0.05580000000000022,-0.0476666666666666,-4.839148148148148
Mcav 12.4,Mcav,Control,Control,-0.0011666666666669083,-0.27666666666666667,2.960203703703705
Ofav 10.1,Ofav,PBC,PBC 3,0.010799999999999699,0.011666666666666417,-2.8270555555555554
Ofav 10.2,Ofav,PBC,PBC 3,0.09388333333333303,-0.07633333333333336,-2.852185185185187
Ofav 10.3,Ofav,PBC,PBC 3,0.11526666666666685,0.00883333333333347,-3.704037037037035
Ofav 10.4,Ofav,Control,Control,0.14065000000000025,-0.03716666666666679,0.7173703703703751
Ofav 11.1,Ofav,PBC,PBC 3,0.06986666666666667,-0.08833333333333322,-0.791666666666662
Ofav 11.2,Ofav,PBC,PBC 3,0.04751666666666665,0.08099999999999996,0.10161111111110917
Ofav 11.3,Ofav,PBC,PBC 3,0.03709999999999999,0.017666666666666647,-0.7599629629629613
Ofav 11.4,Ofav,Control,Control,0.009049999999999928,0.008500000000000027,1.6347407407407435
Ofav 12.1,Ofav,PBC,PBC 3,0.05113333333333318,0.019333333333333275,0.1731851851851829
Ofav 12.2,Ofav,PBC,PBC 3,0.13713333333333289,-0.03216666666666675,-1.346037037037038
Ofav 12.3,Ofav,PBC,PBC 3,0.13099999999999964,-0.004833333333333319,-1.4308888888888873
Ofav 12.4,Ofav,Control,Control,0.059199999999999996,-0.06483333333333323,0.8770740740740735
Pcli 10.1,Pcli,PBC,PBC 3,-0.1323833333333336,-0.0040000000000000036,-2.4580740740740743
Pcli 10.2,Pcli,PBC,PBC 3,0.043833333333333314,0.08683333333333332,-4.65298148148148
Pcli 10.3,Pcli,PBC,PBC 3,0.04598333333333334,0.009000000000000044,-2.660370370370373
Pcli 10.4,Pcli,Control,Control,-0.012933333333333094,-0.053833333333333254,1.3805925925925966
Pcli 11.1,Pcli,PBC,PBC 3,-0.03701666666666655,-0.03333333333333336,-3.74961111111111
Pcli 11.2,Pcli,PBC,PBC 3,-0.07136666666666673,0.021666666666666723,-1.445314814814817
Pcli 11.3,Pcli,PBC,PBC 3,0.07444999999999997,0.058499999999999996,-4.22157407407407
Pcli 11.4,Pcli,Control,Control,-0.002650000000000041,0.024333333333333318,-0.5531666666666647
Pcli 12.1,Pcli,PBC,PBC 3,-0.05555000000000021,-0.05250000000000007,-4.705981481481483
Pcli 12.2,Pcli,PBC,PBC 3,0.07100000000000002,0.04616666666666669,-2.0629074074074034
Pcli 12.3,Pcli,PBC,PBC 3,0.04898333333333316,-0.06350000000000004,-1.1695555555555568
