DATAH	Record	Date	Time	MO	CHK	
DATA	0000000	2024-09-30	16:29:36	52.633	101
DATA	0000001	2024-09-30	16:34:36	30.580	 95
DATA	0000002	2024-09-30	16:39:36	41.575	107
DATA	0000003	2024-09-30	16:44:36	178.55	108
DATA	0000004	2024-09-30	16:49:36	178.07	111
DATA	0000005	2024-09-30	16:54:36	169.92	112
DATA	0000006	2024-09-30	16:59:36	181.60	107
DATA	0000007	2024-09-30	17:04:36	181.50	 98
DATA	0000008	2024-09-30	17:09:36	174.82	111
DATA	0000009	2024-09-30	17:14:35	167.77	113
DATA	0000010	2024-09-30	17:19:35	171.60	 97
DATA	0000011	2024-09-30	17:24:35	161.58	100
DATA	0000012	2024-09-30	17:29:35	48.194	111
DATA	0000013	2024-09-30	17:34:35	156.48	106
DATA	0000014	2024-09-30	17:39:35	155.79	115
DATA	0000015	2024-09-30	17:44:35	150.35	 99
DATA	0000016	2024-09-30	17:49:35	164.05	107
DATA	0000017	2024-09-30	17:54:35	154.73	108
DATA	0000018	2024-09-30	17:59:35	158.11	110
DATA	0000019	2024-09-30	18:04:35	161.87	109
DATA	0000020	2024-09-30	18:09:35	158.85	110
DATA	0000021	2024-09-30	18:14:35	155.96	106
DATA	0000022	2024-09-30	18:19:35	136.64	106
DATA	0000023	2024-09-30	18:24:35	155.62	102
DATA	0000024	2024-09-30	18:29:35	150.34	102
DATA	0000025	2024-09-30	18:34:35	162.38	106
DATA	0000026	2024-09-30	18:39:35	128.66	115
DATA	0000027	2024-09-30	18:44:35	160.26	104
DATA	0000028	2024-09-30	18:49:35	137.33	112
DATA	0000029	2024-09-30	18:54:35	160.74	110
DATA	0000030	2024-09-30	18:59:35	150.38	106
DATA	0000031	2024-09-30	19:04:35	169.27	106
DATA	0000032	2024-09-30	19:09:34	166.22	103
DATA	0000033	2024-09-30	19:14:34	133.09	 99
DATA	0000034	2024-09-30	19:19:34	160.67	109
DATA	0000035	2024-09-30	19:24:34	168.72	110
DATA	0000036	2024-09-30	19:29:34	166.52	112
DATA	0000037	2024-09-30	19:34:34	129.76	114
DATA	0000038	2024-09-30	19:39:34	162.43	111
DATA	0000039	2024-09-30	19:44:34	146.14	108
DATA	0000040	2024-09-30	19:49:34	163.20	101
DATA	0000041	2024-09-30	19:54:34	160.80	101
DATA	0000042	2024-09-30	19:59:34	0.043148	208
DATA	0000043	2024-09-30	20:04:34	0.044058	192
DATA	0000044	2024-09-30	20:09:34	0.044787	207
DATA	0000045	2024-09-30	20:14:34	0.045333	192
DATA	0000046	2024-09-30	20:19:34	0.043148	200
DATA	0000047	2024-09-30	20:24:34	0.043330	190
DATA	0000048	2024-09-30	20:29:34	0.046607	206
DATA	0000049	2024-09-30	20:34:34	0.043330	193
DATA	0000050	2024-09-30	20:39:34	0.047700	195
DATA	0000051	2024-09-30	20:44:34	0.081024	189
DATA	0000052	2024-09-30	20:49:34	0.0000	 84
DATA	0000053	2024-09-30	20:54:34	0.0000	 81
DATA	0000054	2024-09-30	20:59:34	0.0000	 87
DATA	0000055	2024-09-30	21:04:33	1.8969	111
DATA	0000056	2024-09-30	21:09:33	0.35872	157
DATA	0000057	2024-09-30	21:14:33	0.0000	 81
DATA	0000058	2024-09-30	21:19:33	0.0000	 87
DATA	0000059	2024-09-30	21:24:33	0.0000	 84
DATA	0000060	2024-09-30	21:29:33	0.0000	 81
DATA	0000061	2024-09-30	21:34:33	1.5427	 97
DATA	0000062	2024-09-30	21:39:33	10.093	 97
DATA	0000063	2024-09-30	21:44:33	0.0000	 81
DATA	0000064	2024-09-30	21:49:33	0.0000	 87
DATA	0000065	2024-09-30	21:54:33	0.0000	 84
DATA	0000066	2024-09-30	21:59:33	0.14931	156
DATA	0000067	2024-09-30	22:04:33	0.0000	 82
DATA	0000068	2024-09-30	22:09:33	0.0000	 88
DATA	0000069	2024-09-30	22:14:33	0.0000	 85
DATA	0000070	2024-09-30	22:19:33	1.9286	108
DATA	0000071	2024-09-30	22:24:33	0.92468	156
