DATAH	Record	Date	Time	MINIOCEA	CHK	
DATA	0000044	2024-06-18	13:59:03.032	29.565	 53
DATA	0000045	2024-06-18	13:59:18.033	191.14	 50
DATA	0000046	2024-06-18	13:59:33.034	99.091	 61
DATA	0000047	2024-06-18	13:59:48.035	0.0000	 41
DATA	0000048	2024-06-18	14:00:03.035	192.29	 43
DATA	0000049	2024-06-18	14:00:18.036	107.91	 46
DATA	0000050	2024-06-18	14:00:33.037	177.02	 35
DATA	0000051	2024-06-18	14:00:48.037	155.32	 41
DATA	0000052	2024-06-18	14:01:03.038	0.0000	 19
DATA	0000053	2024-06-18	14:01:18.039	33.864	 51
DATA	0000054	2024-06-18	14:01:33.040	174.07	 36
DATA	0000055	2024-06-18	14:01:48.040	181.26	 42
DATA	0000056	2024-06-18	14:02:03.041	37.251	 36
DATA	0000057	2024-06-18	14:02:18.042	36.829	 54
DATA	0000058	2024-06-18	14:02:33.042	128.96	 50
DATA	0000059	2024-06-18	14:02:48.043	126.40	 45
DATA	0000060	2024-06-18	14:03:03.044	140.42	 28
DATA	0000061	2024-06-18	14:03:18.045	110.44	 35
DATA	0000062	2024-06-18	14:03:33.045	41.352	 38
DATA	0000063	2024-06-18	14:03:48.046	167.91	 55
DATA	0000064	2024-06-18	14:04:03.047	256.39	 50
DATA	0000065	2024-06-18	14:04:18.047	207.65	 52
DATA	0000066	2024-06-18	14:04:33.048	37.448	 57
DATA	0000067	2024-06-18	14:04:48.049	24.055	 55
DATA	0000068	2024-06-18	14:05:03.050	188.01	 42
DATA	0000069	2024-06-18	14:05:18.050	171.90	 49
DATA	0000070	2024-06-18	14:05:33.051	33.790	 43
DATA	0000071	2024-06-18	14:05:48.052	43.281	 47
DATA	0000072	2024-06-18	14:06:03.053	150.11	 31
DATA	0000073	2024-06-18	14:06:18.053	149.03	 47
DATA	0000074	2024-06-18	14:06:33.054	33.060	 41
DATA	0000075	2024-06-18	14:06:48.055	130.60	 47
DATA	0000076	2024-06-18	14:07:03.055	161.67	 51
DATA	0000077	2024-06-18	14:07:18.056	154.15	 54
DATA	0000078	2024-06-18	14:07:33.057	165.80	 57
DATA	0000079	2024-06-18	14:07:48.058	13.149	 63
DATA	0000080	2024-06-18	14:08:03.058	30.762	 47
DATA	0000081	2024-06-18	14:08:18.059	15.741	 55
DATA	0000082	2024-06-18	14:08:33.060	187.95	 57
DATA	0000083	2024-06-18	14:08:48.060	133.17	 49
DATA	0000084	2024-06-18	14:09:03.061	27.352	 47
DATA	0000085	2024-06-18	14:09:18.062	0.59635	112
DATA	0000086	2024-06-18	14:09:33.063	4.2200	 43
DATA	0000087	2024-06-18	14:09:48.063	2.8907	 68
DATA	0000088	2024-06-18	14:10:03.064	210.32	 35
DATA	0000089	2024-06-18	14:10:18.065	35.937	 62
DATA	0000090	2024-06-18	14:10:33.065	28.309	 46
DATA	0000091	2024-06-18	14:10:48.066	182.09	 52
DATA	0000092	2024-06-18	14:11:03.067	180.87	 50
DATA	0000093	2024-06-18	14:11:18.068	134.98	 59
DATA	0000094	2024-06-18	14:11:33.068	17.500	 45
DATA	0000095	2024-06-18	14:11:48.069	34.335	 58
DATA	0000096	2024-06-18	14:12:03.070	20.342	 36
DATA	0000097	2024-06-18	14:12:18.070	134.21	 43
DATA	0000098	2024-06-18	14:12:33.071	184.31	 48
DATA	0000099	2024-06-18	14:12:48.072	126.99	 66
DATA	0000100	2024-06-18	14:13:03.073	103.62	 27
DATA	0000101	2024-06-18	14:13:18.073	140.84	 39
DATA	0000102	2024-06-18	14:13:33.074	178.70	 
DATA	0000000	2024-06-18	14:15:32.001	480.18	 30
DATA	0000001	2024-06-18	14:15:47.001	481.99	 47
DATA	0000002	2024-06-18	14:16:02.002	466.47	 37
DATA	0000003	2024-06-18	14:16:17.003	443.37	 39
DATA	0000004	2024-06-18	14:16:32.004	412.55	 34
DATA	0000005	2024-06-18	14:16:47.004	423.58	 46
DATA	0000006	2024-06-18	14:17:02.005	413.03	 29
DATA	0000007	2024-06-18	14:17:17.006	419.50	 45
DATA	0000008	2024-06-18	14:17:32.006	407.28	 45
DATA	0000009	2024-06-18	14:17:47.007	380.83	 54
DATA	0000010	2024-06-18	14:18:02.008	377.82	 44
DATA	0000011	2024-06-18	14:18:17.009	370.65	 46
DATA	0000012	2024-06-18	14:18:32.009	348.81	 47
DATA	0000013	2024-06-18	14:18:47.010	318.85	 47
DATA	0000014	2024-06-18	14:19:02.011	317.86	 41
DATA	0000015	2024-06-18	14:19:17.012	309.36	 45
DATA	0000016	2024-06-18	14:19:32.012	293.90	 45
DATA	0000017	2024-06-18	14:19:47.013	286.39	 58
